Laranjeiras,Carapina,Camburi,Sua,VixCentro,Ibes,VVCentro,Cariacica
40.3333,28.0000,40.0000,25.5417,24.4167,32.6250,45.5417,50.9167
41.7500,26.1667,40.1250,22.8750,23.0000,27.2917,39.9167,49.9583
44.7500,25.1667,43.4167,24.2917,20.6250,31.6667,48.9583,39.4583
47.0833,31.6667,40.6250,40.3750,25.8750,35.5000,50.2500,50.7083
30.4167,27.3750,30.9583,22.2917,20.6250,22.7500,29.0000,43.2500
44.2500,37.2500,43.6250,37.7500,37.5417,49.1250,92.5417,66.0000
25.7083,18.0000,19.7500,18.8750,15.2083,21.1250,24.5417,31.4167
15.7083,15.3750,17.3333,17.8333,16.1667,19.9167,17.4583,29.2500
18.6667,15.1667,25.4583,16.6250,18.1667,16.9167,14.5000,43.0833
30.4167,37.8333,39.2500,33.1250,27.9583,30.4167,29.8750,67.0000
29.8750,32.1667,35.0833,26.5000,26.3750,28.7500,23.8750,57.5000
24.1667,24.0417,24.0000,27.2500,21.6250,33.4583,25.4167,46.0417
31.4583,23.8333,25.0000,21.7083,27.9583,32.5833,18.7917,57.3333
31.2500,13.0000,27.0417,10.9583,12.1250,19.2500,12.5417,20.2917
32.8333,21.5417,33.4167,19.0833,18.9583,28.2917,21.7083,41.2917
36.0833,20.3333,34.0417,20.7917,16.5000,30.0000,23.6667,52.3333
37.7500,42.6250,42.9167,37.6250,40.3333,46.7083,32.2917,89.6667
41.5000,30.3333,41.8750,26.6667,27.8750,39.6667,32.9583,57.1250
23.0000,14.7917,19.7083,14.7083,16.6667,18.3333,16.3750,21.8750
33.6667,23.1667,21.1667,18.7917,15.1667,25.0833,17.0833,48.7083
38.8333,25.2083,34.8333,24.9167,18.7500,35.2500,22.7083,76.2083
43.7917,29.0000,31.5000,33.6250,31.4167,41.7917,52.9583,57.5417
15.7917,5.7500,10.4167,10.0417,6.0833,7.7083,8.0000,17.7917
22.3333,13.0000,20.9167,20.4167,16.2917,17.9167,22.4167,40.9167
13.1250,10.7500,16.2083,14.8333,11.9583,12.2083,16.7500,29.3750
